id,lat,lon,area,regions1,regions2
364,48.93,15.03,118,2,4
365,48.76,15.34,174,2,4
366,48.81,15.53,1381,2,4
367,48.72,16.26,371,2,4
368,48.86,16.54,3560,2,5
369,48.36,16.81,71,2,4
370,47.84,15.56,128,4,4
371,47.69,15.93,80,4,4
372,47.69,15.79,253,4,4
373,47.6,15.94,473,2,4
374,47.7,16.07,89.7,4,4
375,47.64,16.17,114,2,4
376,47.59,16.16,96.5,4,4
377,47.68,16.16,115,4,4
378,47.59,16.28,277,4,4
379,47.68,16.1,415,2,4
380,47.84,15.28,135,4,4
381,47.98,16.48,1570,2,4
382,47.97,16.76,2020,2,4
383,48.92,15.12,45.4,2,4
384,48.9,15.73,2388,2,4
385,48.63,16.77,517,2,4
386,48.16,15.16,95.2,2,4
387,47.92,14.98,270,4,4
388,48.19,16.01,13.7,4,4
389,47.82,16.21,1228,2,4
390,47.91,16.18,240,2,4
391,47.94,15.16,18.6,4,4
392,48.77,15.81,140,2,4
393,48.12,16.49,20,2,4
394,48.14,16.35,102,2,4
395,47.91,15.43,103,4,4
396,48.08,15.95,4.5,4,4
397,48.33,15.24,10.6,2,4
398,47.46,16.12,10,4,4
399,47.98,15.08,17.7,4,4
400,48.33,16.38,5.7,4,4
401,48.59,16.39,2.6,2,4
402,47.91,15.89,11,4,4
403,47.96,15.65,91.8,4,4
404,48.49,16.65,80.6,2,4
405,48.31,16.28,33.2,4,4
406,48.12,16.16,56.3,4,4
407,48.27,15.86,55.3,2,4
408,48.58,14.66,81.1,2,4
409,48.29,15.38,48.6,2,4
410,48.79,15.86,87.6,2,4
411,47.88,15.41,53.9,4,4
412,47.57,16.03,69.5,4,4
413,47.88,14.86,118,4,4
414,48.35,15.98,68.5,2,4
415,47.77,16.04,27.4,4,4
416,47.9,16.16,14.4,2,4
417,47.85,16.24,33.4,4,4
418,48.78,15.64,615,2,4
419,48.3,16.13,23,4,4
420,48.59,16.31,86.9,2,4
421,48.66,15.63,22.3,2,4
422,48.88,15.23,153,2,4
423,48.86,15.25,588,2,4
424,48.79,15.53,115,2,4
425,48.75,15.38,106,2,4
426,48.28,16.09,35.1,2,4
427,48.08,16.53,94.9,2,4
428,48.13,16.3,109,2,4
429,48.08,16.09,15.2,2,4
430,48.24,16.24,8.3,2,4
431,47.96,17.1,2112,2,4
432,47.45,16.36,118,2,4
433,47.49,16.5,223,2,4
434,47.43,16.53,150,2,4
435,47.79,16.55,78.1,2,4
436,47.8,16.65,223,2,4
437,47.83,16.44,383,2,4
438,47.37,16.18,70.8,2,4
439,47.12,16.03,917,2,4
440,47.2,16.21,173,2,4
441,47.11,16.28,415,2,4
442,47.25,16.15,89.2,2,4
443,47.16,16.24,175,2,4
444,47.13,16.46,661,2,4
445,47.07,16.26,316,2,4
446,47.01,16.23,402,2,4
447,47.58,16.29,115,4,4
448,47.49,16.4,267,2,4
449,47.82,16.54,235,2,4
450,47.86,16.59,63.3,2,4
451,47.02,16.03,1921,2,4
452,47.42,16.01,134,2,4
453,46.98,16.01,983,2,4
454,47.2,16.31,89.2,2,4
455,47.12,16.33,94.4,2,4
456,47.82,16.78,44.7,2,4
457,47.51,16.66,560,2,4
458,47.58,13.91,124,4,4
459,47.65,13.71,54.5,4,4
460,47.59,13.92,10.5,4,4
461,47.6,13.65,57.4,4,4
462,47.38,13.85,65.2,4,4
463,47.49,13.63,650,4,4
464,47.61,14.23,2114,4,4
465,47.56,14.32,367,4,4
466,47.59,14.52,2631,4,4
467,47.62,14.44,2797,4,4
468,47.66,14.66,254,4,4
469,47.72,15.37,278,4,4
470,47.74,14.99,54.1,4,4
471,47.66,14.87,592,4,4
472,47.22,15.51,82.4,4,4
473,47.13,15.82,93.7,2,4
474,46.99,15.77,502,2,4
475,46.9,16.04,684,2,4
476,47.44,16.02,269,2,4
477,47.15,15.92,437,2,4
478,47.16,16.21,342,2,4
479,47.32,15.67,410,4,4
480,47.17,15.94,190,2,4
481,47.02,16.07,798,2,4
482,47.08,14.11,1723,4,4
483,47.16,14.47,2338,4,4
484,47.35,14.32,197,4,4
485,47.17,14.66,424,4,4
486,47.09,14.94,2968,4,4
487,47.31,14.76,264,4,4
488,47.38,15.17,4354,4,4
489,47.44,15.16,168,4,4
490,47.7,15.73,234,4,4
491,47.51,15.31,723,4,4
492,47.45,15.07,325,4,4
493,47.4,15.32,1341,4,4
494,47.4,15.18,144,4,4
495,47.4,15.48,6221,4,4
496,47.1,15.62,7122,2,4
497,47.07,14.98,208,2,4
498,47.02,15.49,751,2,4
499,46.82,15.48,8088,2,4
500,46.74,15.11,75.2,2,4
501,46.8,15.36,69.7,2,4
502,46.9,15.13,78.6,2,4
503,46.89,15.46,174,2,4
504,46.81,15.59,482,2,4
505,46.71,15.64,1081,2,4
506,46.76,15.53,9397,2,4
507,46.85,15.77,129,2,4
508,46.77,15.73,9822,2,4
509,46.82,15.8,119,2,4
510,46.92,14.26,157,4,4
511,46.7,14.96,42.6,2,4
512,47.17,15.8,183,2,4
513,47.36,15.99,21.1,4,4
514,47.21,15.98,57.5,4,4
515,47.21,15.32,117,4,4
516,46.69,15.5,203,2,4
517,46.79,15.44,85.3,2,4
518,47.3,15.95,284,2,4
519,47.31,15.62,119,4,4
520,47.13,15.59,298,2,4
521,47.46,15.94,43,4,4
522,47.18,14.66,152,4,4
523,47.19,15.27,6905,4,4
524,47.36,15.87,34.6,2,4
525,46.75,15.2,214,2,4
526,46.8,15.6,37.8,2,4
527,46.84,15.29,50.5,2,4
528,47.5,14.72,44.1,4,4
529,46.94,15.37,7393,2,4
530,46.8,15.26,146,2,4
